City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,Kieta,-6.2167,155.6333,79.56,86,100,5.61,PG,2022-01-30 15:21:17
216,Batagay-Alyta,67.8006,130.4114,-19.44,96,86,2.93,RU,2022-01-30 15:21:18
217,Price,39.5994,-110.8107,24.4,73,0,4.61,US,2022-01-30 15:21:18
218,Nizhniy Baskunchak,48.2198,46.8311,30.29,88,99,10.76,RU,2022-01-30 15:21:19
219,Talara,-4.5772,-81.2719,81.36,54,0,16.11,PE,2022-01-30 15:21:19
220,Ilo,-17.6394,-71.3375,70.97,69,33,6.89,PE,2022-01-30 15:21:20
221,Otradnoye,59.7775,30.8181,31.03,94,100,8.72,RU,2022-01-30 15:21:20
222,Zhangye,38.9342,100.4517,18.03,45,56,3.69,CN,2022-01-30 15:21:21
223,Bloomington,44.8408,-93.2983,16.5,73,100,10.36,US,2022-01-30 15:21:20
224,San Patricio,28.017,-97.5169,57.87,63,0,5.84,US,2022-01-30 15:21:21
225,Bull Savanna,17.8868,-77.5902,75.31,63,4,6.55,JM,2022-01-30 15:21:22
226,Necochea,-38.5473,-58.7368,84.04,39,80,23.94,AR,2022-01-30 15:21:22
227,Matamoros,25.5333,-103.25,51.91,56,0,3.44,MX,2022-01-30 15:21:23
228,Talnakh,69.4865,88.3972,-8.59,96,96,8.19,RU,2022-01-30 15:21:23
229,Marystown,47.1666,-55.1483,42.13,83,100,28.72,CA,2022-01-30 15:21:28
230,Longyearbyen,78.2186,15.6401,10.24,67,20,14.97,SJ,2022-01-30 15:21:29
231,Hegang,47.4,130.3667,-10.71,95,13,4.29,CN,2022-01-30 15:21:30
232,Georgetown,5.4112,100.3354,84.13,81,20,4.61,MY,2022-01-30 15:21:30
233,Grand Gaube,-20.0064,57.6608,82.8,72,17,8.01,MU,2022-01-30 15:21:31
234,Goderich,43.7501,-81.7165,17.91,79,100,6.91,CA,2022-01-30 15:21:32
